iter	Passed	Remaining
1023	4210	4012
1024	4216	4010
1025	4222	4008
1026	4226	4004
1027	4230	3999
1028	4234	3995
1029	4238	3992
1030	4244	3989
1031	4250	3987
1032	4256	3984
1033	4260	3979
1034	4263	3975
1035	4268	3971
1036	4272	3967
1037	4276	3962
1038	4279	3958
1039	4283	3954
1040	4288	3950
1041	4292	3946
1042	4296	3942
1043	4301	3939
1044	4306	3935
1045	4310	3931
1046	4315	3927
1047	4319	3924
1048	4324	3920
1049	4329	3916
1050	4333	3913
1051	4338	3909
1052	4342	3905
1053	4346	3901
1054	4351	3897
1055	4355	3893
1056	4360	3890
1057	4365	3886
1058	4369	3882
1059	4374	3879
1060	4379	3875
1061	4383	3871
1062	4388	3868
1063	4392	3864
1064	4397	3860
1065	4401	3856
1066	4406	3852
1067	4410	3848
1068	4415	3845
1069	4419	3841
1070	4423	3837
1071	4428	3833
1072	4432	3829
1073	4437	3825
1074	4441	3821
1075	4446	3818
1076	4450	3814
1077	4455	3810
1078	4460	3807
1079	4464	3803
1080	4469	3799
1081	4473	3795
1082	4478	3791
1083	4482	3788
1084	4487	3784
1085	4491	3780
1086	4496	3776
1087	4500	3772
1088	4505	3768
1089	4509	3765
1090	4514	3761
1091	4519	3757
1092	4523	3753
1093	4528	3750
1094	4532	3746
1095	4537	3742
1096	4542	3738
1097	4546	3735
1098	4551	3731
1099	4555	3727
1100	4560	3723
1101	4564	3719
1102	4569	3716
1103	4574	3712
1104	4578	3708
1105	4583	3704
1106	4588	3701
1107	4592	3697
1108	4597	3693
1109	4601	3689
1110	4606	3685
1111	4610	3682
1112	4615	3678
1113	4619	3674
1114	4623	3670
1115	4628	3666
1116	4633	3663
1117	4638	3659
1118	4642	3655
1119	4647	3651
1120	4651	3647
1121	4655	3642
1122	4659	3638
1123	4663	3634
1124	4668	3630
1125	4672	3626
1126	4676	3622
1127	4680	3618
1128	4684	3614
1129	4689	3610
1130	4693	3606
1131	4698	3602
1132	4702	3598
1133	4706	3594
1134	4710	3589
1135	4715	3586
1136	4721	3583
1137	4727	3580
1138	4731	3576
1139	4735	3572
1140	4739	3568
1141	4743	3563
1142	4747	3559
1143	4751	3555
1144	4755	3551
1145	4760	3547
1146	4764	3543
1147	4768	3538
1148	4772	3534
1149	4776	3530
1150	4780	3525
1151	4792	3527
1152	4796	3523
1153	4801	3519
1154	4805	3515
1155	4809	3511
1156	4814	3507
1157	4818	3503
1158	4823	3499
1159	4827	3495
1160	4831	3491
1161	4835	3486
1162	4839	3482
1163	4843	3478
1164	4848	3474
1165	4852	3470
1166	4857	3466
1167	4861	3462
1168	4865	3458
1169	4869	3454
1170	4873	3450
1171	4877	3446
1172	4882	3442
1173	4886	3437
1174	4890	3433
1175	4894	3429
1176	4898	3425
1177	4902	3421
1178	4907	3417
1179	4911	3413
1180	4916	3409
1181	4920	3405
1182	4925	3401
1183	4929	3397
1184	4933	3393
1185	4938	3389
1186	4944	3386
1187	4949	3382
1188	4953	3378
1189	4957	3374
1190	4961	3370
1191	4965	3366
1192	4970	3362
1193	4974	3357
1194	4978	3353
1195	4982	3349
1196	4987	3345
1197	4991	3341
1198	4995	3337
1199	5000	3333
1200	5004	3329
1201	5008	3325
1202	5012	3320
1203	5016	3316
1204	5020	3312
1205	5024	3308
1206	5030	3304
1207	5034	3300
1208	5038	3296
1209	5043	3292
1210	5048	3289
1211	5052	3285
1212	5056	3280
1213	5061	3276
1214	5065	3272
1215	5069	3268
1216	5073	3264
1217	5077	3260
1218	5081	3255
1219	5085	3251
1220	5090	3247
1221	5094	3243
1222	5099	3239
1223	5103	3235
1224	5108	3231
1225	5112	3227
1226	5117	3223
1227	5121	3219
1228	5126	3215
1229	5130	3211
1230	5135	3207
1231	5139	3203
1232	5144	3199
1233	5148	3195
1234	5153	3192
1235	5157	3188
1236	5162	3184
1237	5166	3180
1238	5171	3176
1239	5176	3172
1240	5180	3168
1241	5185	3164
1242	5189	3160
1243	5194	3156
1244	5199	3152
1245	5203	3148
1246	5207	3144
1247	5212	3140
1248	5216	3136
1249	5221	3132
1250	5225	3128
1251	5230	3124
1252	5234	3120
1253	5240	3117
1254	5246	3114
1255	5250	3110
1256	5255	3106
1257	5259	3102
1258	5264	3098
1259	5268	3094
1260	5274	3090
1261	5279	3087
1262	5284	3083
1263	5289	3080
1264	5295	3076
1265	5301	3073
1266	5306	3070
1267	5311	3065
1268	5315	3061
1269	5320	3058
1270	5326	3054
1271	5330	3050
1272	5334	3046
1273	5339	3042
1274	5343	3038
1275	5347	3034
1276	5353	3030
1277	5359	3027
1278	5364	3023
1279	5368	3019
1280	5372	3015
1281	5376	3011
1282	5382	3007
1283	5386	3003
1284	5391	2999
1285	5395	2995
1286	5399	2991
1287	5404	2987
1288	5408	2983
1289	5413	2979
1290	5417	2974
1291	5421	2970
1292	5425	2966
1293	5429	2962
1294	5434	2958
1295	5438	2954
1296	5443	2950
1297	5447	2946
1298	5451	2941
1299	5456	2937
1300	5460	2933
1301	5464	2929
1302	5469	2925
1303	5473	2921
1304	5477	2917
1305	5482	2913
1306	5486	2909
1307	5490	2904
1308	5495	2900
1309	5500	2897
1310	5504	2892
1311	5509	2888
1312	5513	2884
1313	5517	2880
1314	5521	2876
1315	5525	2871
1316	5529	2867
1317	5533	2863
1318	5538	2859
1319	5543	2855
1320	5547	2851
1321	5551	2847
1322	5555	2843
1323	5560	2838
1324	5564	2834
1325	5568	2830
1326	5574	2827
1327	5578	2822
1328	5582	2818
1329	5587	2814
1330	5591	2810
1331	5595	2806
1332	5599	2802
1333	5604	2797
1334	5608	2793
1335	5613	2789
1336	5617	2785
1337	5621	2781
1338	5625	2776
1339	5629	2772
1340	5635	2769
1341	5641	2766
1342	5647	2762
1343	5652	2758
1344	5656	2754
1345	5662	2751
1346	5666	2746
1347	5670	2742
1348	5674	2738
1349	5679	2734
1350	5684	2730
1351	5688	2726
1352	5692	2722
1353	5697	2718
1354	5703	2714
1355	5709	2711
1356	5713	2707
1357	5718	2703
1358	5724	2699
1359	5728	2695
1360	5733	2691
1361	5737	2687
1362	5742	2683
1363	5746	2679
1364	5750	2675
1365	5754	2670
1366	5759	2666
1367	5763	2662
1368	5767	2658
1369	5770	2653
1370	5774	2649
1371	5779	2645
1372	5783	2641
1373	5787	2636
1374	5791	2632
1375	5795	2628
1376	5799	2623
1377	5804	2619
1378	5808	2615
1379	5812	2611
1380	5816	2607
1381	5820	2602
1382	5824	2598
1383	5828	2594
1384	5832	2589
1385	5836	2585
1386	5840	2581
1387	5844	2577
1388	5848	2572
1389	5852	2568
1390	5856	2564
1391	5860	2559
1392	5864	2555
1393	5868	2551
1394	5872	2546
1395	5876	2542
1396	5880	2538
1397	5884	2534
1398	5889	2529
1399	5893	2525
1400	5898	2521
1401	5902	2517
1402	5907	2513
1403	5911	2509
1404	5915	2505
1405	5920	2501
1406	5924	2497
1407	5929	2493
1408	5934	2489
1409	5938	2484
1410	5942	2480
1411	5947	2476
1412	5951	2472
1413	5955	2468
1414	5960	2464
1415	5964	2460
1416	5968	2455
1417	5973	2451
1418	5977	2447
1419	5982	2443
1420	5987	2439
1421	5991	2435
1422	5996	2431
1423	6000	2427
1424	6004	2422
1425	6008	2418
1426	6013	2414
1427	6017	2410
1428	6021	2406
1429	6026	2402
1430	6031	2398
1431	6035	2394
1432	6039	2389
1433	6044	2385
1434	6049	2381
1435	6053	2377
1436	6058	2373
1437	6063	2369
1438	6067	2365
1439	6071	2361
1440	6075	2356
1441	6079	2352
1442	6083	2348
1443	6088	2344
1444	6095	2341
1445	6100	2337
1446	6106	2333
1447	6112	2330
1448	6117	2326
1449	6121	2321
1450	6125	2317
1451	6129	2313
1452	6133	2309
1453	6138	2305
1454	6142	2300
1455	6147	2296
1456	6151	2292
1457	6155	2288
1458	6159	2284
1459	6163	2279
1460	6168	2275
1461	6172	2271
1462	6177	2267
1463	6182	2263
1464	6186	2259
1465	6190	2255
1466	6195	2250
1467	6199	2246
1468	6204	2242
1469	6208	2238
1470	6212	2234
1471	6217	2230
1472	6221	2225
1473	6226	2221
1474	6230	2217
1475	6235	2213
1476	6239	2209
1477	6244	2205
1478	6248	2201
1479	6252	2196
1480	6257	2192
1481	6261	2188
1482	6266	2184
1483	6270	2180
1484	6275	2176
1485	6279	2172
1486	6283	2167
1487	6287	2163
1488	6292	2159
1489	6296	2155
1490	6300	2151
1491	6305	2146
1492	6309	2142
1493	6313	2138
1494	6318	2134
1495	6322	2130
1496	6326	2125
1497	6331	2121
1498	6335	2117
1499	6340	2113
1500	6344	2109
1501	6349	2105
1502	6353	2101
1503	6358	2096
1504	6362	2092
1505	6367	2088
1506	6371	2084
1507	6375	2079
1508	6379	2075
1509	6382	2071
1510	6387	2067
1511	6391	2062
1512	6395	2058
1513	6399	2054
1514	6405	2050
1515	6411	2046
1516	6416	2043
1517	6420	2038
1518	6424	2034
1519	6428	2030
1520	6432	2025
1521	6436	2021
1522	6440	2017
1523	6444	2012
1524	6448	2008
1525	6452	2004
1526	6457	2000
1527	6461	1996
1528	6466	1991
1529	6470	1987
1530	6475	1983
1531	6479	1979
1532	6484	1975
1533	6488	1971
1534	6492	1966
1535	6497	1962
1536	6501	1958
1537	6505	1954
1538	6510	1950
1539	6515	1946
1540	6520	1942
1541	6524	1937
1542	6528	1933
1543	6532	1929
1544	6537	1925
1545	6541	1921
1546	6546	1916
1547	6551	1912
